class,AP50_no_tta,AP50_tta,tta_delta
dent,0.598508922539451,0.6043611694542808,0.005852246914829773
scratch,0.612040371430711,0.6236731299347489,0.011632758504037888
crack,0.4020019919940009,0.42889766557061015,0.02689567357660927
glass shatter,0.9771599857555748,0.9902360350492881,0.01307604929371331
lamp broken,0.8794394963506906,0.8925490082973604,0.01310951194666976
tire flat,0.9311290322580645,0.9456612903225807,0.01453225806451619
