epoch,train_loss,val_loss,seconds
1,74.78322774713689,33.57425155639648,271.09223794937134
2,32.62062504616651,19.226982936152705,262.7392485141754
3,24.64641306617043,14.370387541217568,262.11920380592346
4,19.81925108757886,11.71856516143422,262.4219334125519
5,17.1287634101781,10.322242612014582,323.9698486328125
6,15.515941804105585,9.807458936432262,262.5268671512604
7,14.464272837747227,9.354127655500248,262.54916524887085
8,13.600670776583932,9.072478392094741,262.83819699287415
9,12.988071048801595,8.767145252227783,262.3796753883362
10,12.352140274914829,8.537549374427325,262.7759599685669
11,11.793369875712829,8.552634713679184,262.270849943161
12,11.260756132277576,8.481804778252119,261.86850929260254
13,10.784395449540831,8.499256791008843,262.2517681121826
14,10.290180920199914,8.334596311310191,273.07690382003784
15,9.89812682839957,8.37138291347174,264.9173095226288
16,9.436742149970748,8.330015973691587,262.05810499191284
17,9.093922223557126,8.384167009518471,262.59470105171204
18,8.706442100080578,8.420199344776295,261.35259461402893
19,8.39560574834997,8.48627328519468,262.5444302558899
20,8.117509864948012,8.550415743133168,272.3775360584259
21,7.899187988855622,8.50158560011122,263.0427372455597
22,7.658966026522896,8.519384972843124,271.8051338195801
23,7.440235179933635,8.52898238853172,271.8545048236847
24,7.230907300656492,8.573238926169314,271.99896597862244
25,7.123612302270803,8.590615362002525,271.751793384552
26,6.969464591958306,8.665986303635586,413.0195047855377
27,6.785897669467059,8.689849217732748,272.3754417896271
28,6.636848423968662,8.720888249668075,261.74037647247314
29,6.502647852355784,8.747052809632855,272.09713912010193
30,6.355700301853093,8.774371686393833,261.3129906654358
